City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Camacha,PT,33.0833,-16.3333,67.42,68,20,9.22,few clouds
80,Verkhniye Kigi,RU,55.4083,58.6044,43.52,73,100,3.98,overcast clouds
81,Busselton,AU,-33.65,115.3333,57.07,68,100,16.49,overcast clouds
82,Hasaki,JP,35.7333,140.8333,81.28,59,33,10.42,scattered clouds
83,Faya,SA,18.3851,42.4509,59.11,58,1,1.57,clear sky
84,Orlik,RU,52.5178,99.825,20.26,58,46,3.02,scattered clouds
85,Mopipi,BW,-21.1833,24.8833,66.96,28,0,7.65,clear sky
86,Bluff,NZ,-46.6,168.3333,50.14,62,11,8.37,few clouds
87,Vila Velha,BR,-20.3297,-40.2925,73.35,83,75,4.61,broken clouds
88,Alice Springs,AU,-23.7,133.8833,74.75,23,100,11.5,overcast clouds
89,Troitskoye,RU,52.9821,84.6757,26.74,85,18,4.52,few clouds
90,Vardo,NO,70.3705,31.1107,35.58,93,100,5.75,overcast clouds
91,Port Lincoln,AU,-34.7333,135.8667,65.79,59,100,4.32,overcast clouds
92,Yumen,CN,40.2833,97.2,38.21,20,100,19.98,overcast clouds
93,Greenville,US,35.6127,-77.3663,62.15,94,0,0.0,clear sky
94,Makakilo City,US,21.3469,-158.0858,86.32,61,0,11.5,clear sky
95,Dunedin,NZ,-45.8742,170.5036,47.91,87,100,10.11,overcast clouds
96,Bethel,US,41.3712,-73.414,60.03,70,100,1.99,overcast clouds
97,Araouane,ML,18.9048,-3.5265,82.72,45,100,10.02,overcast clouds
98,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,80,75,10.36,broken clouds
99,Weymouth,US,42.2209,-70.9398,57.7,82,100,10.36,overcast clouds
100,Jamestown,US,42.097,-79.2353,55.02,61,0,10.36,clear sky
101,Fomboni,KM,-12.28,43.7425,74.77,78,15,7.16,few clouds
102,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,84,98,11.45,overcast clouds
103,Upernavik,GL,72.7868,-56.1549,20.61,85,14,4.74,few clouds
104,Kavieng,PG,-2.5744,150.7967,84.43,69,24,9.98,few clouds
105,Ust-Tsilma,RU,65.441,52.1498,40.17,95,100,3.62,overcast clouds
106,Albany,US,42.6001,-73.9662,57.87,69,21,7.31,few clouds
107,Nikolskoye,RU,59.7035,30.7861,42.69,93,100,3.02,overcast clouds
108,Jalu,LY,29.0331,21.5482,85.37,23,0,6.64,clear sky
109,Pangkalanbuun,ID,-2.6833,111.6167,86.61,67,43,1.95,scattered clouds
110,Tuatapere,NZ,-46.1333,167.6833,53.38,63,20,1.99,few clouds
111,Itoman,JP,26.1247,127.6694,86.02,66,20,9.22,few clouds
112,Victoria,HK,22.2855,114.1577,91.18,83,15,10.0,few clouds
113,Puerto Ayora,EC,-0.7393,-90.3518,64.54,97,99,4.0,overcast clouds
114,Chuncheng,CN,22.1731,111.7886,83.21,81,49,4.99,light rain
115,Ixtapa,MX,20.7,-105.2,79.23,94,100,5.75,overcast clouds
116,Derzhavinsk,KZ,51.1,66.3167,28.78,52,0,7.54,clear sky
117,Smithers,CA,54.7804,-127.1743,64.72,59,75,2.3,broken clouds
118,Yeppoon,AU,-23.1333,150.7333,76.78,69,98,9.4,overcast clouds
119,Laguna,US,38.421,-121.4238,84.31,57,0,13.8,clear sky
120,Abapo,BO,-18.8333,-63.4667,64.35,63,6,2.75,clear sky
121,Alta,NO,69.9689,23.2717,38.46,80,100,6.91,overcast clouds
122,Coolum Beach,AU,-26.5333,153.1,62.33,90,97,10.22,overcast clouds
123,Capoeiras,BR,-8.7347,-36.6267,58.26,96,10,6.71,clear sky
124,Havoysund,NO,70.9963,24.6622,41.23,73,22,10.76,few clouds
125,Georgetown,MY,5.4112,100.3354,80.89,81,20,3.44,few clouds
126,Mantua,IT,45.1667,10.7833,58.24,87,1,3.0,clear sky
127,Samarai,PG,-10.6167,150.6667,83.28,73,45,12.01,scattered clouds
128,Oriximina,BR,-1.7656,-55.8661,77.56,75,94,2.28,overcast clouds
129,Abnub,EG,27.2696,31.1511,80.82,37,0,10.6,clear sky
130,Takab,IR,36.4009,47.1133,52.34,49,0,4.61,clear sky
131,Srednekolymsk,RU,67.45,153.6833,29.46,72,100,8.66,overcast clouds
132,Kargasok,RU,59.0556,80.8572,28.42,78,75,3.38,broken clouds
133,Cukai,MY,4.25,103.4167,78.75,88,100,5.23,light rain
134,Palmas Bellas,PA,9.2319,-80.0867,77.34,92,100,10.16,overcast clouds
135,Tura,IN,25.5198,90.2201,74.86,96,100,1.74,moderate rain
136,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,71,0,12.66,clear sky
137,Fairbanks,US,64.8378,-147.7164,49.96,72,100,5.75,overcast clouds
138,Maxixe,MZ,-23.8597,35.3472,68.22,89,3,2.77,clear sky
139,Chuy,UY,-33.6971,-53.4616,53.31,92,94,4.09,overcast clouds
140,Namatanai,PG,-3.6667,152.4333,86.22,62,13,5.46,few clouds
141,Tulun,RU,54.5611,100.5792,31.6,65,100,11.95,overcast clouds
142,Dukat,RU,62.55,155.55,21.63,83,98,4.5,overcast clouds
143,Vila,PT,42.0304,-8.1588,49.08,83,100,2.95,overcast clouds
144,Libertador General San Martin,AR,-23.8064,-64.7876,65.84,58,0,3.98,clear sky
145,Biu,NG,10.6129,12.1946,67.64,94,100,3.62,light rain
146,Pavlovskaya Sloboda,RU,55.8156,37.0828,54.1,79,100,13.8,overcast clouds
147,Roebourne,AU,-20.7833,117.1333,81.81,43,0,7.96,clear sky
148,Mar Del Plata,AR,-38.0023,-57.5575,58.95,80,0,9.22,clear sky
149,Yeniseysk,RU,58.4497,92.1703,32.16,84,98,6.78,overcast clouds
150,Alofi,NU,-19.0595,-169.9187,80.49,61,90,13.8,overcast clouds
151,Clyde River,CA,70.4692,-68.5914,26.83,80,100,10.36,overcast clouds
152,Faanui,PF,-16.4833,-151.75,78.57,66,28,12.37,scattered clouds
153,Kichera,RU,55.9375,110.0997,27.91,70,96,3.49,overcast clouds
154,Maniitsoq,GL,65.4167,-52.9,35.24,74,45,7.36,scattered clouds
155,Bonavista,CA,48.6499,-53.1147,51.71,72,100,15.43,overcast clouds
156,La Ronge,CA,55.1001,-105.2842,57.45,67,40,5.75,scattered clouds
157,Klaksvik,FO,62.2266,-6.589,50.92,85,100,25.08,overcast clouds
158,Prachuap Khiri Khan,TH,12.2167,99.75,82.58,68,100,6.8,overcast clouds
159,Chokurdakh,RU,70.6333,147.9167,25.02,73,100,7.78,overcast clouds
160,Saint George,US,37.1041,-113.5841,86.59,25,0,11.5,clear sky
161,Ahipara,NZ,-35.1667,173.1667,61.66,91,84,11.27,broken clouds
162,Coquimbo,CL,-29.9533,-71.3436,55.13,94,100,2.3,overcast clouds
163,Konya,TR,38.1667,32.5,58.48,37,66,4.92,broken clouds
164,Isangel,VU,-19.55,169.2667,81.5,71,98,1.14,overcast clouds
165,Betare Oya,CM,5.6,14.0833,66.63,97,100,2.75,overcast clouds
166,Uruacu,BR,-14.5247,-49.1408,85.75,36,94,2.89,overcast clouds
167,Majalgaon,IN,19.15,76.2333,75.0,81,53,8.77,broken clouds
168,Kamaishi,JP,39.2667,141.8833,73.4,64,0,7.18,clear sky
169,Mehamn,NO,71.0357,27.8492,37.31,93,75,0.0,broken clouds
170,Kavaratti,IN,10.5669,72.642,81.25,76,68,11.86,broken clouds
171,Bugulma,RU,54.55,52.8,44.96,63,84,7.87,broken clouds
172,Nazareno,MX,25.3833,-103.4167,82.71,32,100,13.13,overcast clouds
173,Lazaro Cardenas,MX,17.9583,-102.2,78.6,84,96,1.41,overcast clouds
174,Valdivia,CL,-39.8142,-73.2459,50.09,88,100,2.95,overcast clouds
175,Khani,GE,41.9563,42.9566,51.37,62,3,6.46,clear sky
176,Poum,NC,-20.2333,164.0167,74.16,62,100,9.53,overcast clouds
177,Cortez,US,37.3489,-108.5859,65.16,55,0,0.0,clear sky
178,Tazovskiy,RU,67.4667,78.7,29.95,70,100,11.01,overcast clouds
